y,dNdeta,dNdy,PreEq,Hydro
0,2240,2.48592,2.36074,0.125174
0,2240,2.76514,2.65151,0.11363
0,2240,3.03353,2.92866,0.104876
0,2240,2.62639,2.51626,0.110132
0,2240,2.93824,2.82146,0.116778
0,2240,2.66696,2.55182,0.115137
0,2240,2.77106,2.65501,0.116051
0,2240,2.58626,2.46743,0.118827
0,2240,2.55316,2.42711,0.126046
0,2240,2.30417,2.17622,0.127949
0,2240,2.77178,2.65216,0.119621
0,2240,2.61807,2.50393,0.11414
0,2240,2.93718,2.81479,0.122389
0,2240,2.51195,2.39291,0.119046
0,2240,3.02728,2.91139,0.115894
0,2240,2.51329,2.40175,0.111544
0,2240,2.46751,2.35004,0.117475
0,2240,2.83949,2.72467,0.114816
0,2240,2.55154,2.43453,0.117008
0,2240,2.76746,2.64359,0.123871
0,2240,3.01292,2.9021,0.11082
0,2240,2.76936,2.64848,0.120871
0,2240,2.7278,2.6108,0.117005
0,2240,2.64884,2.52819,0.120651
0,2240,2.88323,2.76362,0.119615
0,2240,2.71466,2.59923,0.115421
0,2240,2.87075,2.74901,0.121744
0,2240,2.51991,2.40032,0.119594
0,2240,3.08313,2.96581,0.117322
0,2240,3.09098,2.96494,0.126036
0,2240,2.60747,2.48783,0.119633
0,2240,2.62946,2.5111,0.118357
0,2240,2.61906,2.49674,0.122317
0,2240,2.603,2.48948,0.11352
0,2240,2.53349,2.40943,0.124058
0,2240,2.88655,2.7649,0.12165
0,2240,2.53361,2.41405,0.119555
0,2240,2.84683,2.73076,0.116069
0,2240,2.64568,2.52361,0.122076
0,2240,2.98053,2.8643,0.11623
0,2240,2.81081,2.69643,0.114384
0,2240,2.69087,2.57988,0.110991
0,2240,2.8922,2.77453,0.117668
0,2240,2.66406,2.54419,0.119865
0,2240,2.56246,2.44366,0.118799
0,2240,3.05856,2.94096,0.117603
0,2240,2.87015,2.75451,0.115638
0,2240,2.54668,2.42527,0.121415
0,2240,2.93682,2.81792,0.118908
0,2240,2.90633,2.78631,0.120028
0,2240,2.68903,2.57598,0.113054
0,2240,2.88187,2.76376,0.118111
0,2240,2.39731,2.27979,0.117515
0,2240,2.88132,2.75929,0.12203
0,2240,2.65822,2.53696,0.121256
0,2240,2.76848,2.65106,0.117424
0,2240,2.93355,2.80843,0.125112
0,2240,2.48533,2.36397,0.121358
0,2240,2.64066,2.51549,0.125162
0,2240,3.03905,2.91607,0.122978
0,2240,2.55868,2.43606,0.122617
0,2240,2.81252,2.69508,0.117434
0,2240,2.82967,2.7083,0.121377
0,2240,2.75714,2.64017,0.116974
0,2240,2.66932,2.54516,0.124166
0,2240,2.68129,2.56932,0.11197
0,2240,2.5411,2.42734,0.113757
0,2240,2.60917,2.48595,0.123223
0,2240,2.466,2.3474,0.118596
0,2240,2.68505,2.5681,0.116949
0,2240,2.53915,2.41817,0.120982
0,2240,2.64318,2.52935,0.11383
0,2240,2.56126,2.45016,0.111098
0,2240,3.02028,2.89645,0.123832
0,2240,2.91798,2.80264,0.115338
0,2240,2.76514,2.64632,0.118827
0,2240,2.98207,2.86881,0.113267
0,2240,2.94475,2.83235,0.112403
0,2240,2.71444,2.59777,0.11667
0,2240,2.91675,2.7928,0.123945
0,2240,2.89117,2.78139,0.109779
0,2240,3.02407,2.90661,0.117465
0,2240,2.6114,2.49271,0.118693
0,2240,2.66368,2.54433,0.119345
0,2240,2.7325,2.61885,0.113649
0,2240,2.87122,2.76165,0.109572
0,2240,2.75907,2.63981,0.119263
0,2240,2.78184,2.65634,0.1255
0,2240,2.70364,2.59074,0.112906
0,2240,2.67894,2.55925,0.119691
0,2240,2.93184,2.81089,0.120952
0,2240,2.75338,2.63796,0.115419
0,2240,2.59976,2.48086,0.1189
0,2240,2.88859,2.7744,0.114193
0,2240,2.29588,2.17914,0.116748
0,2240,2.57985,2.45893,0.12092
0,2240,2.42063,2.30414,0.116497
0,2240,2.75276,2.63414,0.118612
0,2240,2.83969,2.71812,0.121568
0,2240,2.82985,2.70449,0.125359
0,2240,2.52673,2.41436,0.112368
0,2240,2.80049,2.6766,0.123896
0,2240,2.92135,2.79285,0.128504
0,2240,2.96858,2.84301,0.125572
0,2240,2.98928,2.86832,0.12096
0,2240,2.61141,2.50142,0.109985
0,2240,3.08796,2.96768,0.120286
0,2240,2.725,2.61415,0.110844
0,2240,2.8667,2.74148,0.12522
0,2240,2.73598,2.62023,0.115748
0,2240,2.825,2.70629,0.11871
0,2240,2.88343,2.76009,0.123336
0,2240,2.52148,2.40341,0.118068
0,2240,2.99431,2.87285,0.121457
0,2240,2.75072,2.63427,0.116451
0,2240,2.95931,2.8319,0.127409
0,2240,2.50552,2.38246,0.123055
0,2240,2.47709,2.36012,0.116971
0,2240,2.87665,2.76049,0.116159
0,2240,2.93182,2.81409,0.117724
