y,dNdeta,dNdy,PreEq,Hydro
0,2240,3.29435,3.22606,0.0682939
0,2240,1.67025,1.60827,0.061983
0,2240,2.05294,1.97811,0.0748286
0,2240,2.29941,2.22434,0.0750692
0,2240,2.66255,2.58522,0.077324
0,2240,3.15005,3.06197,0.0880753
0,2240,1.98905,1.91057,0.0784898
0,2240,2.2905,2.21844,0.0720611
0,2240,3.4426,3.37016,0.0724389
0,2240,2.92385,2.84561,0.0782327
0,2240,1.82749,1.76306,0.0644264
0,2240,2.2411,2.1671,0.0740089
0,2240,2.05636,1.97822,0.0781462
0,2240,2.21434,2.13365,0.0806953
0,2240,2.7228,2.66268,0.0601156
0,2240,2.74659,2.69344,0.0531532
0,2240,2.47466,2.39831,0.0763511
0,2240,1.89063,1.81737,0.0732666
0,2240,2.89148,2.801,0.0904819
0,2240,2.28473,2.22169,0.0630361
0,2240,1.92439,1.85107,0.0733191
0,2240,1.65266,1.59119,0.0614732
0,2240,2.86771,2.80067,0.0670358
0,2240,2.40914,2.34486,0.0642791
0,2240,3.36591,3.29653,0.06938
0,2240,2.94412,2.85671,0.0874035
0,2240,2.14892,2.08742,0.0615027
0,2240,2.92565,2.85448,0.071163
0,2240,3.27944,3.21946,0.0599821
0,2240,1.73665,1.65918,0.077467
0,2240,3.50323,3.42659,0.0766412
0,2240,2.0991,2.0505,0.0485988
0,2240,1.99532,1.90517,0.0901433
0,2240,2.763,2.70524,0.0577592
0,2240,2.57253,2.51134,0.0611937
0,2240,2.89611,2.83512,0.0609851
0,2240,2.96205,2.86815,0.0939014
0,2240,2.31763,2.26833,0.0493041
0,2240,2.96684,2.91695,0.0498932
0,2240,2.2013,2.1365,0.0647973
0,2240,2.40252,2.33402,0.0685013
0,2240,1.90282,1.8315,0.0713172
0,2240,2.48049,2.40417,0.0763169
0,2240,2.65774,2.56106,0.0966807
0,2240,2.1624,2.10562,0.0567798
0,2240,2.04161,1.95432,0.0872915
0,2240,2.48321,2.41424,0.0689661
0,2240,3.2934,3.23607,0.0573248
0,2240,3.55438,3.48604,0.0683428
0,2240,3.15413,3.09586,0.0582759
0,2240,2.31344,2.25503,0.0584053
0,2240,1.59829,1.52842,0.0698646
0,2240,2.47359,2.42212,0.0514739
0,2240,2.10429,2.02854,0.075744
0,2240,2.23063,2.15217,0.0784545
0,2240,1.74381,1.66968,0.074128
0,2240,2.59956,2.52818,0.0713868
0,2240,2.30889,2.21989,0.0889959
0,2240,2.92308,2.85611,0.066966
0,2240,2.2407,2.15768,0.0830111
0,2240,2.52742,2.4742,0.0532172
0,2240,2.06869,2.01339,0.0552984
0,2240,3.00823,2.94427,0.0639649
0,2240,2.63707,2.55798,0.0790928
0,2240,1.98236,1.91424,0.0681265
0,2240,1.83236,1.77852,0.0538344
0,2240,2.42729,2.35908,0.0682119
0,2240,3.2242,3.14943,0.0747729
0,2240,2.11711,2.04006,0.0770471
0,2240,2.29577,2.21958,0.07619
